slot	attribute	old_val	new_val	descr_dist	old_range_type	new_range_type
room_occup	range	quantity value	integer		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
room_samp_pos	is_a	attribute	core field			
room_samp_pos	range	text value	room_samp_pos_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
room_type	is_a	attribute	core field			
room_type	range	text value	room_type_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
room_vol	is_a	attribute	core field			
room_vol	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
room_wall_share	is_a	attribute	core field			
room_wall_share	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
room_window_count	is_a	attribute	core field			
room_window_count	range	text value	integer		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
root_cond	is_a	attribute	core field			
root_cond	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
root_med_carbon	is_a	attribute	core field			
root_med_carbon	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
root_med_macronutr	description	Measurement of the culture rooting medium macronutrients (N,P, K, Ca, Mg, S); e.g. KH2PO4 (170B mg/L).	Measurement of the culture rooting medium macronutrients (N,P, K, Ca, Mg, S); e.g. KH2PO4 (170 mg/L).	0.022114903839967615		
root_med_macronutr	is_a	attribute	core field			
root_med_macronutr	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
root_med_micronutr	description	Measurement of the culture rooting medium micronutrients (Fe, Mn, Zn, B, Cu, Mo); e.g. H3BO3 (6.2B mg/L).	Measurement of the culture rooting medium micronutrients (Fe, Mn, Zn, B, Cu, Mo); e.g. H3BO3 (6.2 mg/L).	0.02018080132074529		
root_med_micronutr	is_a	attribute	core field			
root_med_micronutr	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
root_med_ph	is_a	attribute	core field			
root_med_ph	range	quantity value	double		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
root_med_regl	description	Growth regulators in the culture rooting medium such as cytokinins, auxins, gybberellins, abscisic acid; e.g. 0.5B mg/L NAA.	Growth regulators in the culture rooting medium such as cytokinins, auxins, gybberellins, abscisic acid; e.g. 0.5 mg/L NAA.	0.014274538196713427		
root_med_regl	is_a	attribute	core field			
root_med_regl	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
root_med_solid	is_a	attribute	core field			
root_med_solid	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
root_med_suppl	description	Organic supplements of the culture rooting medium, such as vitamins, amino acids, organic acids, antibiotics activated charcoal; e.g. nicotinic acid (0.5B mg/L).	Organic supplements of the culture rooting medium, such as vitamins, amino acids, organic acids, antibiotics activated charcoal; e.g. nicotinic acid (0.5 mg/L).	0.008215455858865517		
root_med_suppl	is_a	attribute	core field			
root_med_suppl	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
salinity	description	Salinity is the total concentration of all dissolved salts in a water sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater	The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater.	0.010186869034718327		
salinity	is_a	attribute	core field			
salinity_meth	is_a	attribute	core field			
salinity_meth	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
salt_regm	is_a	attribute	core field			
salt_regm	multivalued	False	True			
salt_regm	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
samp_capt_status	is_a	attribute	core field			
samp_capt_status	range	text value	samp_capt_status_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
samp_dis_stage	is_a	attribute	core field			
samp_dis_stage	range	text value	samp_dis_stage_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
samp_floor	is_a	attribute	core field			
samp_floor	range	text value	samp_floor_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
samp_loc_corr_rate	is_a	attribute	core field			
samp_loc_corr_rate	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
samp_mat_process	description	Any processing applied to the sample during or after retrieving the sample from environment. This field accepts OBI, for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI	A brief description of any processing applied to the sample during or after retrieving the sample from environment, or a link to the relevant protocol(s) performed.	0.21231483213116753		
samp_mat_process	is_a	attribute	nucleic acid sequence source field			
samp_mat_process	range	controlled term value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
samp_md	description	In non deviated well, measured depth is equal to the true vertical depth, TVD (TVD=TVDSS plus the reference or datum it refers to). In deviated wells, the MD is the length of trajectory of the borehole measured from the same reference or datum. Common datums used are ground level (GL), drilling rig floor (DF), rotary table (RT), kelly bushing (KB) and mean sea level (MSL). If 'other' is specified, please propose entry in 'additional info' field	"In non deviated well, measured depth is equal to the true vertical depth, TVD (TVD=TVDSS plus the reference or datum it refers to). In deviated wells, the MD is the length of trajectory of the borehole measured from the same reference or datum. Common datums used are ground level (GL), drilling rig floor (DF), rotary table (RT), kelly bushing (KB) and mean sea level (MSL). If ""other"" is specified, please propose entry in ""additional info"" field"	0.006677796327211882		
samp_md	is_a	attribute	core field			
samp_md	range	quantity value	samp_md_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
samp_preserv	is_a	attribute	core field			
samp_preserv	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
samp_room_id	is_a	attribute	core field			
samp_room_id	range	text value	integer		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
samp_size	description	Amount or size of sample (volume, mass or area) that was collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.	0.2124991182402205		
samp_size	is_a	attribute	nucleic acid sequence source field			
samp_sort_meth	is_a	attribute	core field			
samp_sort_meth	multivalued	False	True			
samp_sort_meth	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
samp_store_dur	is_a	attribute	core field			
samp_store_dur	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
samp_store_loc	is_a	attribute	core field			
samp_store_loc	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
samp_store_temp	is_a	attribute	core field			
samp_subtype	description	Name of sample sub-type. For example if 'sample type' is 'Produced Water' then subtype could be 'Oil Phase' or 'Water Phase'. If 'other' is specified, please propose entry in 'additional info' field	"Name of sample sub-type. For example if ""sample type"" is ""Produced Water"" then subtype could be ""Oil Phase"" or ""Water Phase"". If ""other"" is specified, please propose entry in ""additional info"" field"	0.1623762376237623		
samp_subtype	is_a	attribute	core field			
samp_subtype	range	text value	samp_subtype_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
samp_time_out	is_a	attribute	core field			
samp_time_out	range	text value	double		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
samp_transport_cond	description	Sample transport duration (in days or hrs) and temperature the sample was exposed to (e.g. 5.5 days; 20 B0C)	Sample transport duration (in days or hrs) and temperature the sample was exposed to (e.g. 5.5 days; 20 °C)	0.016759776536312887		
samp_transport_cond	is_a	attribute	core field			
samp_transport_cond	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
samp_tvdss	is_a	attribute	core field			
samp_tvdss	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
samp_type	description	Type of material (i.e. sample) collected. Includes types like core, rock trimmings, drill cuttings, piping section, coupon, pigging debris, solid deposit, produced fluid, produced water, injected water, swabs, etc. If 'other' is specified, please propose entry in 'additional info' field	The type of material from which the sample was obtained. For the Hydrocarbon package, samples include types like core, rock trimmings, drill cuttings, piping section, coupon, pigging debris, solid deposit, produced fluid, produced water, injected water, swabs, etc. For the Food Package, samples are usually categorized as food, body products or tissues, or environmental material. This field accepts terms listed under environmental specimen (http://purl.obolibrary.org/obo/GENEPIO_0001246).	0.16925468387438458		
samp_type	is_a	attribute	core field			
samp_type	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
samp_weather	is_a	attribute	core field			
samp_weather	range	text value	samp_weather_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
samp_well_name	is_a	attribute	core field			
samp_well_name	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
saturates_pc	description	Saturate, Aromatic, Resin and AsphalteneB (SARA) is an analysis method that dividesB crude oilB components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)	Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)	0.01473099922611687		
saturates_pc	is_a	attribute	core field			
saturates_pc	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
season	description	The season when sampling occurred	The season when sampling occurred. Any of the four periods into which the year is divided by the equinoxes and solstices. This field accepts terms listed under season (http://purl.obolibrary.org/obo/NCIT_C94729).	0.42691752966006646		
season	is_a	attribute	core field			
season	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
season_environment	is_a	attribute	core field			
season_environment	multivalued	False	True			
season_environment	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
season_precpt	is_a	attribute	core field			
season_temp	is_a	attribute	core field			
season_use	is_a	attribute	core field			
season_use	range	text value	season_use_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
secondary_treatment	description	The process for substantially degrading the biological content of the sewage 	The process for substantially degrading the biological content of the sewage	0.0042260179895281524		
secondary_treatment	is_a	attribute	core field			
secondary_treatment	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
sediment_type	is_a	attribute	core field			
sediment_type	range	text value	sediment_type_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
sewage_type	is_a	attribute	core field			
sewage_type	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
shading_device_cond	is_a	attribute	core field			
shading_device_cond	range	text value	shading_device_cond_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
shading_device_loc	is_a	attribute	core field			
shading_device_loc	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
shading_device_mat	is_a	attribute	core field			
shading_device_mat	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
shading_device_type	is_a	attribute	core field			
shading_device_type	range	text value	shading_device_type_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
sieving	description	Collection design of pooled samples and/or sieve size and amount of sample sieved 	Collection design of pooled samples and/or sieve size and amount of sample sieved	0.002732816529272486		
sieving	is_a	attribute	core field			
sieving	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
silicate	is_a	attribute	core field			
size_frac	is_a	attribute	nucleic acid sequence source field			
size_frac	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
size_frac_low	is_a	attribute	core field			
size_frac_up	is_a	attribute	core field			
slope_aspect	is_a	attribute	core field			
slope_gradient	is_a	attribute	core field			
sludge_retent_time	is_a	attribute	core field			
sodium	is_a	attribute	core field			
soil_type	description	Soil series name or other lower-level classification	Description of the soil type or classification. This field accepts terms under soil (http://purl.obolibrary.org/obo/ENVO_00001998).  Multiple terms can be separated by pipes.	0.49809885245721763		
soil_type	is_a	attribute	core field			
soil_type	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
soil_type_meth	is_a	attribute	core field			
soil_type_meth	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
solar_irradiance	is_a	attribute	core field			
soluble_inorg_mat	is_a	attribute	core field			
soluble_inorg_mat	multivalued	False	True			
soluble_inorg_mat	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
soluble_org_mat	is_a	attribute	core field			
soluble_org_mat	multivalued	False	True			
soluble_org_mat	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
soluble_react_phosp	is_a	attribute	core field			
source_mat_id	is_a	attribute	nucleic acid sequence source field			
source_mat_id	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
space_typ_state	is_a	attribute	core field			
space_typ_state	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
specific	is_a	attribute	core field			
specific	range	text value	specific_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
specific_humidity	is_a	attribute	core field			
sr_dep_env	description	Source rock depositional environment (https://en.wikipedia.org/wiki/Source_rock). If 'other' is specified, please propose entry in 'additional info' field	"Source rock depositional environment (https://en.wikipedia.org/wiki/Source_rock). If ""other"" is specified, please propose entry in ""additional info"" field"	0.04705882352941171		
sr_dep_env	is_a	attribute	core field			
sr_dep_env	range	text value	sr_dep_env_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
sr_geol_age	description	Geological age of source rock (Additional info: https://en.wikipedia.org/wiki/Period_(geology)). If 'other' is specified, please propose entry in 'additional info' field	"Geological age of source rock (Additional info: https://en.wikipedia.org/wiki/Period_(geology)). If ""other"" is specified, please propose entry in ""additional info"" field"	0.04316546762589912		
sr_geol_age	is_a	attribute	core field			
sr_geol_age	range	text value	sr_geol_age_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
sr_kerog_type	description	Origin of kerogen. Type I: Algal (aquatic), Type II: planktonic and soft plant material (aquatic or terrestrial), Type III: terrestrial woody/ fibrous plant material (terrestrial), Type IV: oxidized recycled woody debris (terrestrial) (additional information: https://en.wikipedia.org/wiki/Kerogen). If 'other' is specified, please propose entry in 'additional info' field	"Origin of kerogen. Type I: Algal (aquatic), Type II: planktonic and soft plant material (aquatic or terrestrial), Type III: terrestrial woody/ fibrous plant material (terrestrial), Type IV: oxidized recycled woody debris (terrestrial) (additional information: https://en.wikipedia.org/wiki/Kerogen). If ""other"" is specified, please propose entry in ""additional info"" field"	0.009531374106433899		
sr_kerog_type	is_a	attribute	core field			
sr_kerog_type	range	text value	sr_kerog_type_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
sr_lithology	description	Lithology of source rock (https://en.wikipedia.org/wiki/Source_rock). If 'other' is specified, please propose entry in 'additional info' field	"Lithology of source rock (https://en.wikipedia.org/wiki/Source_rock). If ""other"" is specified, please propose entry in ""additional info"" field"	0.05741626794258381		
sr_lithology	is_a	attribute	core field			
sr_lithology	range	text value	sr_lithology_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
standing_water_regm	is_a	attribute	core field			
standing_water_regm	multivalued	False	True			
standing_water_regm	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
store_cond	description	Explain how and for how long the soil sample was stored before DNA extraction	Explain how and for how long the soil sample was stored before DNA extraction (fresh/frozen/other).	0.08504355113108797		
store_cond	is_a	attribute	core field			
store_cond	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
substructure_type	is_a	attribute	core field			
substructure_type	multivalued	False	True			
substructure_type	range	text value	substructure_type_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
sulfate	is_a	attribute	core field			
sulfate_fw	is_a	attribute	core field			
sulfide	is_a	attribute	core field			
surf_air_cont	is_a	attribute	core field			
surf_air_cont	multivalued	False	True			
surf_air_cont	range	text value	surf_air_cont_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
surf_humidity	is_a	attribute	core field			
surf_material	is_a	attribute	core field			
surf_material	range	text value	surf_material_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
surf_moisture	is_a	attribute	core field			
surf_moisture_ph	is_a	attribute	core field			
surf_moisture_ph	range	quantity value	double		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
surf_temp	is_a	attribute	core field			
suspend_part_matter	is_a	attribute	core field			
suspend_solids	is_a	attribute	core field			
suspend_solids	multivalued	False	True			
suspend_solids	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
tan	description	Total Acid NumberB (TAN) is a measurement of acidity that is determined by the amount ofB potassium hydroxideB in milligrams that is needed to neutralize the acids in one gram of oil.B It is an important quality measurement ofB crude oil. (source: https://en.wikipedia.org/wiki/Total_acid_number)	Total Acid Number (TAN) is a measurement of acidity that is determined by the amount of potassium hydroxide in milligrams that is needed to neutralize the acids in one gram of oil. It is an important quality measurement of crude oil. (source: https://en.wikipedia.org/wiki/Total_acid_number)	0.04443733285806406		
tan	is_a	attribute	core field			
temp	description	Temperature of the sample at the time of sampling	Temperature of the sample at the time of sampling.	0.004962809790010847		
temp	is_a	attribute	environment field			
temp_out	is_a	attribute	core field			
tertiary_treatment	is_a	attribute	core field			
tertiary_treatment	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
tidal_stage	is_a	attribute	core field			
tidal_stage	range	text value	tidal_stage_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
tillage	is_a	attribute	core field			
tillage	multivalued	False	True			
tillage	range	text value	tillage_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
tiss_cult_growth_med	is_a	attribute	core field			
tiss_cult_growth_med	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
toluene	is_a	attribute	core field			
tot_carb	is_a	attribute	core field			
tot_depth_water_col	is_a	attribute	core field			
tot_diss_nitro	is_a	attribute	core field			
tot_inorg_nitro	is_a	attribute	core field			
tot_iron	is_a	attribute	core field			
tot_nitro	is_a	attribute	core field			
tot_nitro_content	is_a	attribute	core field			
tot_org_c_meth	is_a	attribute	core field			
tot_org_c_meth	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
tot_org_carb	is_a	attribute	core field			
tot_part_carb	is_a	attribute	core field			
tot_phosp	is_a	attribute	core field			
tot_phosphate	is_a	attribute	core field			
tot_sulfur	is_a	attribute	core field			
train_line	is_a	attribute	core field			
train_line	range	text value	train_line_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
train_stat_loc	is_a	attribute	core field			
train_stat_loc	range	text value	train_stat_loc_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
train_stop_loc	is_a	attribute	core field			
train_stop_loc	range	text value	train_stop_loc_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
turbidity	is_a	attribute	core field			
tvdss_of_hcr_temp	description	True vertical depth subsea (TVDSS) of the hydrocarbon resource where the original temperature was measured (e.g. 1345 m)	True vertical depth subsea (TVDSS) of the hydrocarbon resource where the original temperature was measured (e.g. 1345 m).	0.0023612783838405926		
tvdss_of_hcr_temp	is_a	attribute	core field			
typ_occup_density	is_a	attribute	core field			
typ_occup_density	range	quantity value	double		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
ventilation_rate	is_a	attribute	core field			
ventilation_type	is_a	attribute	core field			
ventilation_type	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
vfa	is_a	attribute	core field			
vfa_fw	is_a	attribute	core field			
vis_media	is_a	attribute	core field			
vis_media	range	text value	vis_media_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
viscosity	description	A measure of oil's resistanceB to gradual deformation byB shear stressB orB tensile stress (e.g. 3.5 cp;  100 B0C)	A measure of oil's resistance to gradual deformation by shear stress or tensile stress (e.g. 3.5 cp; 100 °C)	0.1664463829373808		
viscosity	is_a	attribute	core field			
viscosity	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
volatile_org_comp	is_a	attribute	core field			
volatile_org_comp	multivalued	False	True			
volatile_org_comp	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
wall_area	is_a	attribute	core field			
wall_const_type	is_a	attribute	core field			
wall_const_type	range	text value	wall_const_type_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
wall_finish_mat	description	The material utilized to finish the outer most layer of the wall 	The material utilized to finish the outer most layer of the wall	0.004771474880019944		
wall_finish_mat	is_a	attribute	core field			
wall_finish_mat	range	text value	wall_finish_mat_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
wall_height	is_a	attribute	core field			
wall_loc	is_a	attribute	core field			
wall_loc	range	text value	wall_loc_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
wall_surf_treatment	is_a	attribute	core field			
wall_surf_treatment	range	text value	wall_surf_treatment_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
wall_texture	is_a	attribute	core field			
wall_texture	range	text value	wall_texture_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
wall_thermal_mass	is_a	attribute	core field			
wall_water_mold	is_a	attribute	core field			
wall_water_mold	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
wastewater_type	is_a	attribute	core field			
wastewater_type	range	text value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
water_content	is_a	attribute	core field			
water_current	is_a	attribute	core field			
water_cut	is_a	attribute	core field			
water_feat_size	is_a	attribute	core field			
water_feat_type	is_a	attribute	core field			
water_feat_type	range	text value	water_feat_type_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
water_temp_regm	is_a	attribute	core field			
water_temp_regm	multivalued	False	True			
water_temp_regm	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
watering_regm	is_a	attribute	core field			
watering_regm	multivalued	False	True			
watering_regm	range	quantity value	string		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.TypeDefinition'>
weekday	is_a	attribute	core field			
weekday	range	text value	weekday_enum		<class 'linkml_runtime.linkml_model.meta.ClassDefinition'>	<class 'linkml_runtime.linkml_model.meta.EnumDefinition'>
